URL,Final URL after redirects,Canonical URL,Self-canonical?,Canonical target status,Canonical target indexable?,Duplicate canonical group,Query URL canonical behavior,Issue,Recommendation
/,/,https://www.fromthetrunk.shop,yes,200,verify robots in target row,/,n/a,,
/collection,/collection,https://www.fromthetrunk.shop/collection,yes,200,verify robots in target row,/collection | /collection?fabric=silk | /collection?occasion=wedding | /collection?tags=top-viewed | /collection?type=blouse | /collection?sort=price-asc,n/a,,
/top-viewed,/top-viewed,https://www.fromthetrunk.shop/top-viewed,yes,200,verify robots in target row,/top-viewed,n/a,,
/our-story,/our-story,https://www.fromthetrunk.shop/our-story,yes,200,verify robots in target row,/our-story | /about | /stories,n/a,,
/our-team,/our-team,https://www.fromthetrunk.shop/our-team,yes,200,verify robots in target row,/our-team | /founders,n/a,,
/faqs,/faqs,https://www.fromthetrunk.shop/faqs,yes,200,verify robots in target row,/faqs | /faq,n/a,,
/contact,/contact,https://www.fromthetrunk.shop/contact,yes,200,verify robots in target row,/contact,n/a,,
/how-it-works,/how-it-works,https://www.fromthetrunk.shop/how-it-works,yes,200,verify robots in target row,/how-it-works,n/a,,
/authentication,/authentication,https://www.fromthetrunk.shop/authentication,yes,200,verify robots in target row,/authentication,n/a,,
/policies,/policies,https://www.fromthetrunk.shop/policies,yes,200,verify robots in target row,/policies,n/a,,
/why,/why,https://www.fromthetrunk.shop/why,yes,200,verify robots in target row,/why,n/a,,
/sell-your-saree,/sell-your-saree,https://www.fromthetrunk.shop/sell-your-saree,yes,200,verify robots in target row,/sell-your-saree,n/a,,
/packing,/packing,https://www.fromthetrunk.shop/packing,yes,200,verify robots in target row,/packing,n/a,,
/policies/privacy-policy,/policies/privacy-policy,https://www.fromthetrunk.shop/policies/privacy-policy,yes,200,verify robots in target row,/policies/privacy-policy | /privacy-policy,n/a,,
/policies/return-refund-policy,/policies/return-refund-policy,https://www.fromthetrunk.shop/policies/return-refund-policy,yes,200,verify robots in target row,/policies/return-refund-policy | /return-policy,n/a,,
/policies/shipping-delivery-policy,/policies/shipping-delivery-policy,https://www.fromthetrunk.shop/policies/shipping-delivery-policy,yes,200,verify robots in target row,/policies/shipping-delivery-policy | /shipping-policy,n/a,,
/policies/terms-of-service,/policies/terms-of-service,https://www.fromthetrunk.shop/policies/terms-of-service,yes,200,verify robots in target row,/policies/terms-of-service | /terms-of-service,n/a,,
/policies/authentication-condition-policy,/policies/authentication-condition-policy,https://www.fromthetrunk.shop/policies/authentication-condition-policy,yes,200,verify robots in target row,/policies/authentication-condition-policy,n/a,,
/policies/care-packaging-policy,/policies/care-packaging-policy,https://www.fromthetrunk.shop/policies/care-packaging-policy,yes,200,verify robots in target row,/policies/care-packaging-policy,n/a,,
/policies/cancellation-policy,/policies/cancellation-policy,https://www.fromthetrunk.shop/policies/cancellation-policy,yes,200,verify robots in target row,/policies/cancellation-policy,n/a,,
/policies/sell-with-us-policy,/policies/sell-with-us-policy,https://www.fromthetrunk.shop/policies/sell-with-us-policy,yes,200,verify robots in target row,/policies/sell-with-us-policy,n/a,,
/policies/grievance-redressal,/policies/grievance-redressal,https://www.fromthetrunk.shop/policies/grievance-redressal,yes,200,verify robots in target row,/policies/grievance-redressal,n/a,,
/collection/fabric/silk,/collection/fabric/silk,https://www.fromthetrunk.shop/collection/fabric/silk,yes,200,verify robots in target row,/collection/fabric/silk,n/a,,
